;crop_variety;reference;experiment_type_original;experiment_numbers;yield;year;crop_type;salinitylevel_list;yieldreduction_list;max_yieldreduction
0;ISA;Van Hoorn et al. (1993);tank;6.0;Grain yield [kg/m²];1990;Wheat;[0.8, 1.0, 2.9, 3.3, 6.0, 6.3, nan, nan, nan, nan, nan, nan];[100.0, 88.3333333333333, 91.1111111111111, 86.1111111111111, 89.4444444444444, 84.4444444444444, nan, nan, nan, nan, nan, nan];
1;Sunvale;Grewal (2010);pot;5.0;Shoot dry weight [g/(3plants)];2009;Wheat;[3.5, 4.5, 5.5, 6.5, 7.5, nan, nan, nan, nan, nan, nan, nan];[100.0, 85.7142857142857, 71.4285714285714, 64.2857142857143, 50.0, nan, nan, nan, nan, nan, nan, nan];
2;Axona;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 34.6151682232474, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan];
3;Cajerna;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 19.8853083965984, 2.40135544622202, 0.0, nan, nan, nan, nan, nan, nan, nan, nan];
4;Ho2;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 30.5921975863037, 33.26472697789, 0.0, nan, nan, nan, nan, nan, nan, nan, nan];
5;Lermaroja;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 7.61295180722892, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan];
6;Sette Cerros;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 19.4605912869554, 17.7229826864179, 0.0, nan, nan, nan, nan, nan, nan, nan, nan];
7;Cajema x Sette Cerros;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 22.9304539649367, 29.0839428770463, 0.0, nan, nan, nan, nan, nan, nan, nan, nan];
8;Cajema x Ho2;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 26.3635822317494, 31.5588900797904, 5.55853280933667, nan, nan, nan, nan, nan, nan, nan, nan];
9;Cajema x Lermaroja;Sadat Noori et al. (2010);greenhouse;4.0;1000-grain weight [g];2010;Wheat;[0.0, 13.696875, 18.2625, 22.828125, nan, nan, nan, nan, nan, nan, nan, nan];[100.0, 18.3259039128281, 14.8765301068421, 0.0, nan, nan, nan, nan, nan, nan, nan, nan];
